OBJECTID,ID,Nimi,Namn,Name,Osoite,Adress,Kaupunki,Stad,Operaattor,Kapasiteet,x,y
67,1207,Lammasrinne,Lammbrinken,Lammasrinne,Lammasrinne 1,Lammbrinken 1,Vantaa,Vantaa,City Bike Vantaa,20,24.8065774431624,60.2618735770402
68,1209,Ainontie,Ainovägen,Ainontie,Ainontie 1,Ainovägen 1,Vantaa,Vantaa,City Bike Vantaa,10,24.8038507177212,60.271084497009
69,1211,Martinkyläntie,Mårtensbyvägen,Martinkyläntie,Martinkyläntie 47,Mårtensbyvägen 47,Vantaa,Vantaa,City Bike Vantaa,10,24.8218929725587,60.2779776017692
70,1213,Petikontie,Petikkovägen,Petikontie,Petikontie 7,Petikkovägen 7,Vantaa,Vantaa,City Bike Vantaa,10,24.8150690189847,60.2796055892388
71,1215,Luhtimäki,Loftbacken,Luhtimäki,Luhtimäki 4,Loftbacken 4,Vantaa,Vantaa,City Bike Vantaa,10,24.8201850916422,60.2689544141709
72,1217,Vehkalan asema,Veckals station,Vehkala station,Härkähaantie 18,Oxhagsvägen 18,Vantaa,Vantaa,City Bike Vantaa,20,24.8442235204394,60.2948248922537
73,1219,Vantaanpuisto,Vandaparken,Vantaanpuisto,Vantaanrinne 14,Vandabrinken 14,Vantaa,Vantaa,City Bike Vantaa,10,24.856553682452,60.3012197687463
74,1221,Mestarintie,Mästarvägen,Mestarintie,Mestarintie 10a,Mästarvägen 10a,Vantaa,Vantaa,City Bike Vantaa,10,24.8507535873908,60.3076139998326
75,1223,Kivistön asema,Kivistö station,Kivistö station,Keimolantie 10,Käinbyvägen 10,Vantaa,Vantaa,City Bike Vantaa,20,24.8495962498246,60.3155648677925
76,1225,Aurinkokivenpiha,Solstensgården,Aurinkokivenpiha,Jaspiskuja 20,Jaspisgränden 20,Vantaa,Vantaa,City Bike Vantaa,20,24.8499308023298,60.3187548136145
77,1227,Rubiinipuisto,Rubinparken,Rubiinipuisto,Lipputie 12,Flaggvägen 12,Vantaa,Vantaa,City Bike Vantaa,20,24.8534876118009,60.3217495711165
78,1229,Lincolninaukio,Lincolnplatsen,Lincolninaukio,Keimolankaarre 9,Käinbysvängen 9,Vantaa,Vantaa,City Bike Vantaa,20,24.8312067755046,60.3184708843167
